YEAR,MO,DY,T2M
2019,1,1,20.12
2019,1,2,20.47
2019,1,3,18.45
2019,1,4,19.44
2019,1,5,19.57
2019,1,6,18.9
2019,1,7,14.81
2019,1,8,15.74
2019,1,9,16.43
2019,1,10,16.48
2019,1,11,17.65
2019,1,12,19.27
2019,1,13,19.53
2019,1,14,16.54
2019,1,15,16.79
2019,1,16,18.77
2019,1,17,20.41
2019,1,18,18.87
2019,1,19,19.3
2019,1,20,21.46
2019,1,21,21.94
2019,1,22,20.51
2019,1,23,20.03
2019,1,24,19.46
2019,1,25,18.12
2019,1,26,16.55
2019,1,27,15.02
2019,1,28,12.92
2019,1,29,13.59
2019,1,30,16.5
2019,1,31,18.7
2019,2,1,20.94
2019,2,2,20.9
2019,2,3,21.32
2019,2,4,22.55
2019,2,5,23.33
2019,2,6,24.29
2019,2,7,22.36
2019,2,8,17.59
2019,2,9,14.48
2019,2,10,15.9
2019,2,11,18.15
2019,2,12,21.28
2019,2,13,23.76
2019,2,14,24.97
2019,2,15,23.69
2019,2,16,19.7
2019,2,17,19.53
2019,2,18,22.23
2019,2,19,24.15
2019,2,20,26.5
2019,2,21,27.85
2019,2,22,25.94
2019,2,23,24.44
2019,2,24,23.94
2019,2,25,22.69
2019,2,26,23.26
2019,2,27,21.62
2019,2,28,19.44
2019,3,1,19.76
2019,3,2,23.89
2019,3,3,24.33
2019,3,4,23.19
2019,3,5,21.53
2019,3,6,21.44
2019,3,7,22.4
2019,3,8,24.38
2019,3,9,24.53
2019,3,10,25.32
2019,3,11,27.04
2019,3,12,25.99
2019,3,13,27.56
2019,3,14,26.52
2019,3,15,25.52
2019,3,16,25.64
2019,3,17,27.48
2019,3,18,25.65
2019,3,19,26.34
2019,3,20,28.42
2019,3,21,26.88
2019,3,22,27.19
2019,3,23,26.8
2019,3,24,27.87
2019,3,25,30.08
2019,3,26,28.8
2019,3,27,27.76
2019,3,28,29.29
2019,3,29,31.63
2019,3,30,31.6
2019,3,31,31.45
2019,4,1,29.99
2019,4,2,31.15
2019,4,3,32.24
2019,4,4,32.4
2019,4,5,32.36
2019,4,6,32.47
2019,4,7,32.08
2019,4,8,32.44
2019,4,9,32.2
2019,4,10,32.02
2019,4,11,33.83
2019,4,12,33.74
2019,4,13,33
2019,4,14,33.99
2019,4,15,32.71
2019,4,16,29.36
2019,4,17,27.29
2019,4,18,26.93
